Epoch [1/30], Train Loss: 0.6379, Train Acc: 0.7143, Val Loss: 0.6132, Val Acc: 0.7265
Epoch [2/30], Train Loss: 0.5173, Train Acc: 0.8589, Val Loss: 0.4527, Val Acc: 0.8940
Epoch [3/30], Train Loss: 0.4112, Train Acc: 0.8830, Val Loss: 0.3558, Val Acc: 0.8991
Epoch [4/30], Train Loss: 0.3332, Train Acc: 0.8971, Val Loss: 0.2813, Val Acc: 0.9111
Epoch [5/30], Train Loss: 0.2815, Train Acc: 0.9050, Val Loss: 0.3361, Val Acc: 0.8496
Epoch [6/30], Train Loss: 0.2485, Train Acc: 0.9120, Val Loss: 0.2396, Val Acc: 0.9043
Epoch [7/30], Train Loss: 0.2271, Train Acc: 0.9176, Val Loss: 0.2280, Val Acc: 0.9077
Epoch [8/30], Train Loss: 0.2140, Train Acc: 0.9199, Val Loss: 0.2201, Val Acc: 0.9060
Epoch [9/30], Train Loss: 0.2023, Train Acc: 0.9251, Val Loss: 0.1508, Val Acc: 0.9590
Epoch [10/30], Train Loss: 0.1952, Train Acc: 0.9261, Val Loss: 0.1636, Val Acc: 0.9419
Epoch [11/30], Train Loss: 0.1893, Train Acc: 0.9295, Val Loss: 0.1374, Val Acc: 0.9556
Epoch [12/30], Train Loss: 0.1856, Train Acc: 0.9285, Val Loss: 0.1430, Val Acc: 0.9487
Epoch [13/30], Train Loss: 0.1830, Train Acc: 0.9327, Val Loss: 0.1967, Val Acc: 0.9162
Epoch [14/30], Train Loss: 0.1782, Train Acc: 0.9302, Val Loss: 0.1323, Val Acc: 0.9487
Epoch [15/30], Train Loss: 0.1752, Train Acc: 0.9325, Val Loss: 0.2031, Val Acc: 0.9111
Epoch [16/30], Train Loss: 0.1716, Train Acc: 0.9347, Val Loss: 0.2415, Val Acc: 0.8940
Epoch [17/30], Train Loss: 0.1697, Train Acc: 0.9381, Val Loss: 0.1650, Val Acc: 0.9385
Epoch [18/30], Train Loss: 0.1671, Train Acc: 0.9364, Val Loss: 0.3339, Val Acc: 0.8598
Epoch [19/30], Train Loss: 0.1667, Train Acc: 0.9347, Val Loss: 0.1629, Val Acc: 0.9419
Epoch [20/30], Train Loss: 0.1617, Train Acc: 0.9402, Val Loss: 0.1562, Val Acc: 0.9470
Epoch [21/30], Train Loss: 0.1604, Train Acc: 0.9383, Val Loss: 0.2380, Val Acc: 0.8957
Epoch [22/30], Train Loss: 0.1588, Train Acc: 0.9389, Val Loss: 0.7723, Val Acc: 0.6769
Epoch [23/30], Train Loss: 0.1620, Train Acc: 0.9357, Val Loss: 0.1164, Val Acc: 0.9538
Epoch [24/30], Train Loss: 0.1533, Train Acc: 0.9424, Val Loss: 0.1426, Val Acc: 0.9538
Epoch [25/30], Train Loss: 0.1532, Train Acc: 0.9421, Val Loss: 0.1408, Val Acc: 0.9538
Epoch [26/30], Train Loss: 0.1486, Train Acc: 0.9458, Val Loss: 0.1199, Val Acc: 0.9538
Epoch [27/30], Train Loss: 0.1536, Train Acc: 0.9436, Val Loss: 0.1930, Val Acc: 0.9197
Epoch [28/30], Train Loss: 0.1478, Train Acc: 0.9426, Val Loss: 0.1100, Val Acc: 0.9556
Epoch [29/30], Train Loss: 0.1462, Train Acc: 0.9436, Val Loss: 0.1234, Val Acc: 0.9521
Epoch [30/30], Train Loss: 0.1486, Train Acc: 0.9402, Val Loss: 0.1453, Val Acc: 0.9470
Model saved as 'chest_xray_model_baseline.pth'
