Epoch [1/30], Train Loss: 0.4197, Train Acc: 0.7893, Val Loss: 0.1863, Val Acc: 0.9282
Epoch [2/30], Train Loss: 0.2092, Train Acc: 0.9246, Val Loss: 0.1748, Val Acc: 0.9282
Epoch [3/30], Train Loss: 0.1699, Train Acc: 0.9355, Val Loss: 0.1146, Val Acc: 0.9658
Epoch [4/30], Train Loss: 0.1396, Train Acc: 0.9511, Val Loss: 0.1239, Val Acc: 0.9556
Epoch [5/30], Train Loss: 0.1331, Train Acc: 0.9498, Val Loss: 0.1785, Val Acc: 0.9350
Epoch [6/30], Train Loss: 0.1276, Train Acc: 0.9509, Val Loss: 0.2458, Val Acc: 0.9077
Epoch [7/30], Train Loss: 0.1135, Train Acc: 0.9573, Val Loss: 0.9381, Val Acc: 0.6581
Epoch [8/30], Train Loss: 0.1098, Train Acc: 0.9609, Val Loss: 0.0892, Val Acc: 0.9709
Epoch [9/30], Train Loss: 0.0997, Train Acc: 0.9620, Val Loss: 0.1017, Val Acc: 0.9556
Epoch [10/30], Train Loss: 0.0946, Train Acc: 0.9652, Val Loss: 0.0919, Val Acc: 0.9675
Epoch [11/30], Train Loss: 0.0860, Train Acc: 0.9695, Val Loss: 0.2907, Val Acc: 0.8872
Epoch [12/30], Train Loss: 0.0968, Train Acc: 0.9631, Val Loss: 0.1098, Val Acc: 0.9573
Epoch [13/30], Train Loss: 0.0774, Train Acc: 0.9742, Val Loss: 0.1068, Val Acc: 0.9641
Epoch [14/30], Train Loss: 0.0744, Train Acc: 0.9729, Val Loss: 0.1315, Val Acc: 0.9487
Epoch [15/30], Train Loss: 0.0686, Train Acc: 0.9725, Val Loss: 0.0803, Val Acc: 0.9709
Epoch [16/30], Train Loss: 0.0660, Train Acc: 0.9761, Val Loss: 0.0881, Val Acc: 0.9658
Epoch [17/30], Train Loss: 0.0610, Train Acc: 0.9772, Val Loss: 0.1266, Val Acc: 0.9470
Epoch [18/30], Train Loss: 0.0588, Train Acc: 0.9801, Val Loss: 0.1139, Val Acc: 0.9573
Epoch [19/30], Train Loss: 0.0576, Train Acc: 0.9814, Val Loss: 0.0921, Val Acc: 0.9624
Epoch [20/30], Train Loss: 0.0539, Train Acc: 0.9814, Val Loss: 0.2827, Val Acc: 0.8991
Epoch [21/30], Train Loss: 0.0514, Train Acc: 0.9838, Val Loss: 0.0752, Val Acc: 0.9744
Epoch [22/30], Train Loss: 0.0467, Train Acc: 0.9861, Val Loss: 0.0904, Val Acc: 0.9641
Epoch [23/30], Train Loss: 0.0458, Train Acc: 0.9846, Val Loss: 0.0881, Val Acc: 0.9624
Epoch [24/30], Train Loss: 0.0406, Train Acc: 0.9889, Val Loss: 0.0894, Val Acc: 0.9641
Epoch [25/30], Train Loss: 0.0397, Train Acc: 0.9880, Val Loss: 0.0979, Val Acc: 0.9641
Epoch [26/30], Train Loss: 0.0353, Train Acc: 0.9908, Val Loss: 0.0784, Val Acc: 0.9726
Epoch [27/30], Train Loss: 0.0343, Train Acc: 0.9912, Val Loss: 0.0795, Val Acc: 0.9709
Epoch [28/30], Train Loss: 0.0317, Train Acc: 0.9912, Val Loss: 0.0887, Val Acc: 0.9641
Epoch [29/30], Train Loss: 0.0316, Train Acc: 0.9921, Val Loss: 0.1039, Val Acc: 0.9573
Epoch [30/30], Train Loss: 0.0296, Train Acc: 0.9923, Val Loss: 0.0899, Val Acc: 0.9641
