Epoch [1/30], Train Loss: 0.4088, Train Acc: 0.8055, Val Loss: 0.2758, Val Acc: 0.9162
Epoch [2/30], Train Loss: 0.2336, Train Acc: 0.9176, Val Loss: 0.1997, Val Acc: 0.9385
Epoch [3/30], Train Loss: 0.1848, Train Acc: 0.9360, Val Loss: 0.1685, Val Acc: 0.9487
Epoch [4/30], Train Loss: 0.1603, Train Acc: 0.9434, Val Loss: 0.1374, Val Acc: 0.9538
Epoch [5/30], Train Loss: 0.1442, Train Acc: 0.9462, Val Loss: 0.1094, Val Acc: 0.9624
Epoch [6/30], Train Loss: 0.1353, Train Acc: 0.9530, Val Loss: 0.1391, Val Acc: 0.9538
Epoch [7/30], Train Loss: 0.1260, Train Acc: 0.9567, Val Loss: 0.1041, Val Acc: 0.9607
Epoch [8/30], Train Loss: 0.1173, Train Acc: 0.9584, Val Loss: 0.0987, Val Acc: 0.9641
Epoch [9/30], Train Loss: 0.1109, Train Acc: 0.9618, Val Loss: 0.1153, Val Acc: 0.9573
Epoch [10/30], Train Loss: 0.1080, Train Acc: 0.9620, Val Loss: 0.0956, Val Acc: 0.9624
Epoch [11/30], Train Loss: 0.1032, Train Acc: 0.9673, Val Loss: 0.0885, Val Acc: 0.9658
Epoch [12/30], Train Loss: 0.0978, Train Acc: 0.9663, Val Loss: 0.0833, Val Acc: 0.9744
Epoch [13/30], Train Loss: 0.0928, Train Acc: 0.9701, Val Loss: 0.0925, Val Acc: 0.9675
Epoch [14/30], Train Loss: 0.0905, Train Acc: 0.9678, Val Loss: 0.1012, Val Acc: 0.9624
Epoch [15/30], Train Loss: 0.0860, Train Acc: 0.9722, Val Loss: 0.1086, Val Acc: 0.9590
Epoch [16/30], Train Loss: 0.0842, Train Acc: 0.9710, Val Loss: 0.0775, Val Acc: 0.9761
Epoch [17/30], Train Loss: 0.0820, Train Acc: 0.9718, Val Loss: 0.0752, Val Acc: 0.9778
Epoch [18/30], Train Loss: 0.0775, Train Acc: 0.9742, Val Loss: 0.0810, Val Acc: 0.9658
Epoch [19/30], Train Loss: 0.0747, Train Acc: 0.9752, Val Loss: 0.0852, Val Acc: 0.9641
Epoch [20/30], Train Loss: 0.0721, Train Acc: 0.9769, Val Loss: 0.0977, Val Acc: 0.9607
Epoch [21/30], Train Loss: 0.0705, Train Acc: 0.9761, Val Loss: 0.0996, Val Acc: 0.9624
Epoch [22/30], Train Loss: 0.0668, Train Acc: 0.9797, Val Loss: 0.1201, Val Acc: 0.9573
Epoch [23/30], Train Loss: 0.0648, Train Acc: 0.9782, Val Loss: 0.0726, Val Acc: 0.9709
Epoch [24/30], Train Loss: 0.0621, Train Acc: 0.9814, Val Loss: 0.1037, Val Acc: 0.9607
Epoch [25/30], Train Loss: 0.0607, Train Acc: 0.9799, Val Loss: 0.0774, Val Acc: 0.9675
Epoch [26/30], Train Loss: 0.0566, Train Acc: 0.9836, Val Loss: 0.0707, Val Acc: 0.9726
Epoch [27/30], Train Loss: 0.0571, Train Acc: 0.9823, Val Loss: 0.0759, Val Acc: 0.9675
Epoch [28/30], Train Loss: 0.0539, Train Acc: 0.9827, Val Loss: 0.0713, Val Acc: 0.9744
Epoch [29/30], Train Loss: 0.0525, Train Acc: 0.9861, Val Loss: 0.0856, Val Acc: 0.9658
Epoch [30/30], Train Loss: 0.0499, Train Acc: 0.9846, Val Loss: 0.0833, Val Acc: 0.9658
Model saved as 'chest_xray_model_final.pth'
