Epoch [1/30], Train Loss: 0.6341, Train Acc: 0.6840, Val Loss: 0.6327, Val Acc: 0.6188
Epoch [2/30], Train Loss: 0.5063, Train Acc: 0.8640, Val Loss: 0.4782, Val Acc: 0.8410
Epoch [3/30], Train Loss: 0.3862, Train Acc: 0.8950, Val Loss: 0.3387, Val Acc: 0.8974
Epoch [4/30], Train Loss: 0.3083, Train Acc: 0.9073, Val Loss: 0.2619, Val Acc: 0.9214
Epoch [5/30], Train Loss: 0.2619, Train Acc: 0.9099, Val Loss: 0.2118, Val Acc: 0.9368
Epoch [6/30], Train Loss: 0.2377, Train Acc: 0.9157, Val Loss: 0.2013, Val Acc: 0.9265
Epoch [7/30], Train Loss: 0.2201, Train Acc: 0.9208, Val Loss: 0.1595, Val Acc: 0.9556
Epoch [8/30], Train Loss: 0.2092, Train Acc: 0.9285, Val Loss: 0.1781, Val Acc: 0.9316
Epoch [9/30], Train Loss: 0.1994, Train Acc: 0.9253, Val Loss: 0.2095, Val Acc: 0.9111
Epoch [10/30], Train Loss: 0.1946, Train Acc: 0.9276, Val Loss: 0.1657, Val Acc: 0.9368
Epoch [11/30], Train Loss: 0.1889, Train Acc: 0.9351, Val Loss: 0.2203, Val Acc: 0.9060
Epoch [12/30], Train Loss: 0.1848, Train Acc: 0.9330, Val Loss: 0.1883, Val Acc: 0.9214
Epoch [13/30], Train Loss: 0.1815, Train Acc: 0.9342, Val Loss: 0.1919, Val Acc: 0.9197
Epoch [14/30], Train Loss: 0.1779, Train Acc: 0.9347, Val Loss: 0.1357, Val Acc: 0.9470
Epoch [15/30], Train Loss: 0.1728, Train Acc: 0.9396, Val Loss: 0.1370, Val Acc: 0.9453
Epoch [16/30], Train Loss: 0.1722, Train Acc: 0.9370, Val Loss: 0.1286, Val Acc: 0.9487
Epoch [17/30], Train Loss: 0.1681, Train Acc: 0.9377, Val Loss: 0.1436, Val Acc: 0.9470
Epoch [18/30], Train Loss: 0.1651, Train Acc: 0.9406, Val Loss: 0.1353, Val Acc: 0.9521
Epoch [19/30], Train Loss: 0.1648, Train Acc: 0.9413, Val Loss: 0.1609, Val Acc: 0.9350
Epoch [20/30], Train Loss: 0.1621, Train Acc: 0.9428, Val Loss: 0.1282, Val Acc: 0.9487
Epoch [21/30], Train Loss: 0.1617, Train Acc: 0.9415, Val Loss: 0.1814, Val Acc: 0.9282
Epoch [22/30], Train Loss: 0.1572, Train Acc: 0.9415, Val Loss: 0.1325, Val Acc: 0.9521
Epoch [23/30], Train Loss: 0.1575, Train Acc: 0.9421, Val Loss: 0.1136, Val Acc: 0.9556
Epoch [24/30], Train Loss: 0.1539, Train Acc: 0.9434, Val Loss: 0.1614, Val Acc: 0.9333
Epoch [25/30], Train Loss: 0.1524, Train Acc: 0.9434, Val Loss: 0.2310, Val Acc: 0.8906
Epoch [26/30], Train Loss: 0.1504, Train Acc: 0.9436, Val Loss: 0.1137, Val Acc: 0.9538
Epoch [27/30], Train Loss: 0.1495, Train Acc: 0.9458, Val Loss: 0.2086, Val Acc: 0.9111
Epoch [28/30], Train Loss: 0.1486, Train Acc: 0.9464, Val Loss: 0.1927, Val Acc: 0.9197
Epoch [29/30], Train Loss: 0.1447, Train Acc: 0.9447, Val Loss: 0.1192, Val Acc: 0.9521
Epoch [30/30], Train Loss: 0.1442, Train Acc: 0.9492, Val Loss: 0.1472, Val Acc: 0.9419
