"Step","VAE_v8 - Train Loss","VAE_v8 - Train Loss__MIN","VAE_v8 - Train Loss__MAX","VAE_v8 - Validation Loss","VAE_v8 - Validation Loss__MIN","VAE_v8 - Validation Loss__MAX"
"0","0.009961310432845523","0.009961310432845523","0.009961310432845523","3.142176615291939","3.142176615291939","3.142176615291939"
"1","0.012205216939282027","0.012205216939282027","0.012205216939282027","0.010538973928689545","0.010538973928689545","0.010538973928689545"
"2","0.00972701445022392","0.00972701445022392","0.00972701445022392","0.010531342798000942","0.010531342798000942","0.010531342798000942"
"3","0.00972245796076227","0.00972245796076227","0.00972245796076227","0.01052902383625158","0.01052902383625158","0.01052902383625158"
"4","0.00972087113014487","0.00972087113014487","0.00972087113014487","0.01052833029789088","0.01052833029789088","0.01052833029789088"
"5","0.009719145712702139","0.009719145712702139","0.009719145712702139","0.010526233923842027","0.010526233923842027","0.010526233923842027"
"6","0.009718226714345591","0.009718226714345591","0.009718226714345591","0.010525525047712514","0.010525525047712514","0.010525525047712514"
"7","0.00971770825527026","0.00971770825527026","0.00971770825527026","0.010525219740846246","0.010525219740846246","0.010525219740846246"
"8","0.009717159098714638","0.009717159098714638","0.009717159098714638","0.010524747156759905","0.010524747156759905","0.010524747156759905"
"9","0.009758669356303032","0.009758669356303032","0.009758669356303032","0.010531863059639232","0.010531863059639232","0.010531863059639232"
